Subject,Hand,Trial,Reach Index,Duration (s),Accuracy (mm)
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT11.csv,9,1.07,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT11.csv,10,1.03,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT11.csv,11,1.06,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT11.csv,12,1.125,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT11.csv,13,0.96,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT11.csv,14,0.895,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT11.csv,15,1.16,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT13.csv,0,0.865,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT13.csv,1,0.905,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT13.csv,2,0.915,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT13.csv,3,0.805,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT13.csv,4,1.025,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT13.csv,5,0.775,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT13.csv,6,0.705,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT13.csv,7,0.8300000000000001,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT13.csv,8,0.84,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT13.csv,9,0.8200000000000001,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT13.csv,10,0.865,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT13.csv,11,0.845,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT13.csv,12,0.93,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT13.csv,13,0.6900000000000001,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT13.csv,14,0.8250000000000001,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT13.csv,15,0.795,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT15.csv,0,0.855,
